VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,extra,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
0,2023-06-28 17:31:46,2023-06-28 18:22:12,1.0,1.5,1.0,N,212,237,Credit Card,5.0,6.53320985508562,0.0,1.0,24.8,2.5,0.0
0,2023-06-29 19:15:55,2023-06-29 19:07:31,1.0,3.8,1.0,N,6,163,Credit Card,5.0,9.187047683548386,0.0,1.0,31.55,2.5,0.0
1,2023-06-30 18:28:50,2023-06-30 18:01:19,2.0,1.89,1.0,N,35,81,Credit Card,2.5,6.793776706248846,0.0,1.0,24.84,2.5,0.0
1,2023-06-30 22:57:37,2023-06-30 22:55:34,1.0,1.1,1.0,N,46,99,Credit Card,1.0,3.6951211356057128,0.0,1.0,13.45,2.5,0.0
1,2023-06-28 18:39:16,2023-06-28 17:31:29,2.0,2.84,1.0,N,213,114,Credit Card,2.5,7.838752617126602,0.0,1.0,29.88,2.5,0.0
1,2023-06-30 15:09:40,2023-06-30 17:23:04,1.0,1.93,1.0,N,39,35,Cash,2.5,0.1822657273205064,0.0,1.0,24.2,2.5,0.0
1,2023-06-29 07:44:35,2023-06-29 08:09:14,1.0,1.31,1.0,N,56,141,Credit Card,0.0,6.842339041857693,0.0,1.0,18.48,2.5,0.0
1,2023-06-30 16:55:03,2023-06-30 18:03:51,1.0,3.14,1.0,N,188,75,Credit Card,2.5,3.705050065291587,0.0,1.0,30.7,2.5,0.0
1,2023-06-30 22:55:43,2023-06-30 22:10:40,6.0,2.09,1.0,N,150,88,Credit Card,1.0,2.722418066620975,0.0,1.0,21.2,2.5,0.0
0,2023-06-30 09:14:20,2023-06-30 10:25:22,0.0,1.2,1.0,N,18,119,Credit Card,2.5,6.789583422789506,0.0,1.0,15.1,2.5,0.0
1,2023-06-30 18:23:25,2023-06-30 17:41:25,1.0,0.87,1.0,N,140,193,Cash,2.5,4.346500487282992,0.0,1.0,15.1,2.5,0.0
0,2023-06-30 10:54:45,2023-06-30 10:33:37,1.0,1.3,1.0,N,215,149,Credit Card,2.5,6.42804737688013,0.0,1.0,18.2,2.5,0.0
1,2023-06-29 08:35:22,2023-06-29 07:39:53,1.0,1.15,1.0,N,7,105,Credit Card,0.0,2.451411946105411,0.0,1.0,16.94,2.5,0.0
1,2023-06-30 12:58:59,2023-06-30 12:31:28,1.0,1.13,1.0,N,226,197,Credit Card,0.0,2.2194232104327103,0.0,1.0,18.3,2.5,0.0
0,2023-06-29 07:42:29,2023-06-29 06:04:13,2.0,1.0,1.0,N,62,137,Cash,2.5,3.601119970092408,0.0,1.0,13.3,2.5,0.0
1,2023-06-28 23:46:18,2023-06-29 00:30:38,1.0,11.83,1.0,N,157,207,Credit Card,1.0,14.415241906838132,0.0,1.0,65.47,0.0,1.75
0,2023-06-30 12:48:14,2023-06-30 12:36:18,1.0,0.8,1.0,N,180,16,Credit Card,2.5,4.844997059893914,0.0,1.0,16.8,2.5,0.0
0,2023-06-30 23:19:53,2023-06-30 23:52:35,1.0,2.7,1.0,N,82,245,Credit Card,3.5,5.652558329898234,0.0,1.0,24.9,2.5,0.0
1,2023-06-30 18:43:18,2023-06-30 19:03:09,1.0,1.06,1.0,N,30,101,Credit Card,2.5,4.051087529290779,0.0,1.0,16.44,2.5,0.0
1,2023-06-28 20:18:42,2023-06-28 19:25:56,4.0,1.14,1.0,N,238,22,Credit Card,2.5,8.035248926141369,0.0,1.0,22.32,2.5,0.0
1,2023-06-30 01:25:27,2023-06-30 00:47:17,2.0,3.47,1.0,N,26,224,Credit Card,1.0,2.299526907829833,0.0,1.0,25.5,2.5,0.0
1,2023-06-30 18:30:49,2023-06-30 18:55:06,1.0,0.99,1.0,N,122,258,Credit Card,2.5,6.466487304602994,0.0,1.0,19.63,2.5,0.0
1,2023-06-30 18:03:32,2023-06-30 17:53:42,1.0,1.56,1.0,N,137,176,Credit Card,2.5,3.959977297323044,0.0,1.0,19.2,2.5,0.0
1,2023-06-30 22:06:00,2023-06-30 22:05:03,1.0,1.0,1.0,N,197,218,Credit Card,1.0,4.863759380688032,0.0,1.0,13.43,2.5,0.0
1,2023-06-29 20:57:56,2023-06-29 20:24:09,3.0,19.6,2.0,N,49,256,Cash,0.0,1.3189118112836815,0.0,1.0,75.75,2.5,1.75
1,2023-06-29 19:48:24,2023-06-29 20:05:28,1.0,0.68,1.0,N,115,162,Credit Card,1.0,6.034396990099605,0.0,1.0,28.92,2.5,0.0
1,2023-06-29 09:14:15,2023-06-29 08:27:08,1.0,1.57,1.0,N,222,106,Credit Card,0.0,4.140340803408764,0.0,1.0,20.16,2.5,0.0
1,2023-06-28 17:24:41,2023-06-28 17:19:21,1.0,1.11,1.0,N,136,164,Credit Card,2.5,4.985388068967242,0.0,1.0,20.54,2.5,0.0
1,2023-06-29 15:48:33,2023-06-29 16:08:02,1.0,10.46,1.0,N,71,217,Credit Card,5.0,18.684722701580807,0.0,1.0,85.87,2.5,1.75
1,2023-06-29 05:49:00,2023-06-29 06:03:41,1.0,4.38,1.0,N,123,227,Credit Card,0.0,5.602165962978145,0.0,1.0,27.6,2.5,0.0
1,2023-06-29 16:27:42,2023-06-29 16:18:24,1.0,1.84,1.0,N,200,119,Cash,2.5,1.943038282078819,0.0,1.0,19.3,2.5,0.0
1,2023-06-29 19:21:44,2023-06-29 20:13:47,1.0,0.86,1.0,N,181,44,Cash,2.5,1.1472757286158874,0.0,1.0,14.4,2.5,0.0
1,2023-06-28 20:06:52,2023-06-28 20:32:59,1.0,3.28,1.0,N,3,160,Credit Card,2.5,2.1949376461470225,0.0,1.0,28.3,2.5,0.0
1,2023-06-30 05:40:58,2023-06-30 07:25:12,2.0,17.29,5.0,N,240,41,Cash,0.0,0.3186530927489694,0.0,1.0,98.5,2.5,0.0
1,2023-06-28 19:24:04,2023-06-28 21:01:49,1.0,19.89,2.0,N,19,24,Credit Card,0.0,9.101912032910624,6.55,1.0,90.53,2.5,1.75
0,2023-06-29 10:07:12,2023-06-29 10:24:41,1.0,0.0,1.0,N,170,22,UPI,0.0,1.2745058310403152,0.0,1.0,5.2,0.0,0.0
1,2023-06-30 14:19:16,2023-06-30 15:23:30,2.0,15.8,2.0,N,117,206,Credit Card,0.0,16.58809993528333,6.55,1.0,96.66,2.5,0.0
1,2023-06-30 18:24:42,2023-06-30 19:38:45,1.0,2.24,1.0,N,190,91,Credit Card,7.5,6.616746266082126,0.0,1.0,30.43,0.0,1.75
1,2023-06-29 18:57:34,2023-06-29 19:06:21,1.0,5.62,1.0,N,139,65,Credit Card,2.5,7.801668485472597,0.0,1.0,42.48,2.5,0.0
1,2023-06-29 22:47:31,2023-06-29 23:35:20,,8.74,,,173,57,Wallet,0.0,1.5531149066298544,0.0,1.0,35.93,,
1,2023-06-28 20:07:24,2023-06-28 20:06:01,1.0,1.65,1.0,N,97,139,unknown,1.0,4.9512172316930645,0.0,1.0,15.0,2.5,0.0
0,2023-06-28 16:11:25,2023-06-28 17:13:19,1.0,10.5,1.0,N,15,50,Credit Card,10.0,8.658990884541145,6.55,1.0,71.34,2.5,0.0
0,2023-06-30 17:51:25,2023-06-30 18:15:25,0.0,1.7,1.0,N,140,230,Credit Card,5.0,6.752386316047048,0.0,1.0,25.0,2.5,0.0
1,2023-06-28 22:54:47,2023-06-28 23:04:16,1.0,2.62,1.0,N,154,61,Credit Card,1.0,4.66653508559518,0.0,1.0,23.88,2.5,0.0
0,2023-06-30 22:30:51,2023-06-30 22:33:48,,6.2,,,149,125,Wallet,1.0,9.57172871579522,0.0,1.0,42.2,,
1,2023-06-30 17:10:06,2023-06-30 17:19:59,1.0,4.26,1.0,N,195,84,Credit Card,2.5,6.890240423325414,0.0,1.0,34.92,2.5,0.0
0,2023-06-29 22:35:41,2023-06-29 23:13:17,0.0,11.5,1.0,N,142,155,Credit Card,2.75,10.915774917237943,0.0,1.0,64.1,0.0,1.75
1,2023-06-30 17:20:58,2023-06-30 18:39:17,1.0,0.42,1.0,N,58,28,Credit Card,2.5,4.409938405745249,0.0,1.0,13.92,2.5,0.0
1,2023-06-28 20:43:56,2023-06-28 21:28:46,,18.22,,,209,37,Wallet,0.0,24.7581413192962,6.55,1.0,88.92,,
1,2023-06-30 14:43:39,2023-06-30 16:30:59,1.0,0.69,1.0,N,212,130,Credit Card,0.0,5.175543867533108,0.0,1.0,15.2,2.5,0.0
1,2023-06-30 11:35:00,2023-06-30 11:15:45,1.0,6.1,1.0,N,168,163,Cash,0.0,3.3602601761369173,0.0,1.0,37.1,2.5,0.0
0,2023-06-29 17:54:05,2023-06-29 17:27:48,1.0,1.1,1.0,N,51,90,Credit Card,5.0,3.746427012205736,0.0,1.0,15.4,2.5,0.0
0,2023-06-28 16:08:17,2023-06-28 16:16:11,1.0,0.9,1.0,N,13,77,Credit Card,5.0,2.045221271398197,0.0,1.0,14.7,2.5,0.0
1,2023-06-28 21:09:41,2023-06-28 21:34:47,1.0,3.2,1.0,N,227,1,Credit Card,2.5,7.806349328686551,0.0,1.0,31.56,2.5,0.0
1,2023-06-30 19:33:05,2023-06-30 18:41:11,1.0,1.34,1.0,N,9,185,Credit Card,2.5,5.686890767108107,0.0,1.0,23.16,2.5,0.0
1,2023-06-29 17:08:12,2023-06-29 16:48:37,,1.4,,,260,16,Wallet,0.0,4.298345652791603,0.0,1.0,31.43,,
1,2023-06-29 17:49:28,2023-06-29 17:41:07,1.0,0.89,1.0,N,14,89,Credit Card,2.5,5.683662104035886,0.0,1.0,15.6,2.5,0.0
1,2023-06-30 01:54:16,2023-06-30 03:33:26,1.0,4.59,1.0,N,4,141,Credit Card,1.0,9.447978982986465,0.0,1.0,30.6,2.5,0.0
1,2023-06-30 20:53:43,2023-06-30 21:58:28,1.0,1.81,1.0,N,169,105,Credit Card,1.0,3.9981192150123097,0.0,1.0,18.0,2.5,0.0
0,2023-06-30 06:48:50,2023-06-30 07:48:55,1.0,25.3,3.0,N,175,178,Credit Card,0.0,30.10776182516032,20.0,1.0,163.65,0.0,0.0
1,2023-06-30 08:45:58,2023-06-30 09:52:16,1.0,1.93,1.0,N,7,97,Credit Card,0.0,8.133569482525255,0.0,1.0,21.84,2.5,0.0
1,2023-06-28 19:08:57,2023-06-28 18:57:05,1.0,1.83,1.0,N,161,174,Credit Card,2.5,3.634574065936277,0.0,1.0,18.2,2.5,0.0
0,2023-06-30 14:00:38,2023-06-30 15:28:55,1.0,1.2,1.0,N,14,23,Cash,2.5,1.5740529489018773,0.0,1.0,12.6,2.5,0.0
1,2023-06-30 19:10:34,2023-06-30 19:24:32,1.0,0.75,1.0,N,68,1,Cash,2.5,3.9923567439016527,0.0,1.0,14.4,2.5,0.0
0,2023-06-30 16:57:21,2023-06-30 16:16:25,1.0,0.4,1.0,N,106,112,Credit Card,5.0,3.9080269393415294,0.0,1.0,12.3,2.5,0.0
1,2023-06-30 00:33:34,2023-06-30 01:16:02,1.0,2.53,1.0,N,34,171,Credit Card,1.0,7.5368790040725395,0.0,1.0,25.3,2.5,0.0
1,2023-06-28 20:20:28,2023-06-28 21:01:28,2.0,1.43,1.0,N,220,129,Cash,1.0,1.252928778871618,0.0,1.0,15.0,2.5,0.0
0,2023-06-29 18:44:03,2023-06-29 17:22:33,2.0,2.7,1.0,N,244,77,Credit Card,5.0,8.060677427947388,0.0,1.0,30.2,2.5,0.0
