engine_size,horsepower,mileage,age,weight,brand,fuel_type,price
2.3011799515906,177.6583711320038,87461.06209768292,4.1187812071646785,1542.5674837664542,Honda,Hybrid,33795.453636598744
2.915935541973263,142.7588937876461,27089.181736003775,5.8075770533042625,1318.680998811257,BMW,Diesel,36651.315940326116
1.9065842833466156,192.58318219761804,54909.39899550401,8.405407016145787,1645.9665255371806,,Hybrid,31508.329800528198
,156.9214156070855,104452.35214064417,4.257047925925515,1254.449946289934,BMW,Diesel,32031.764347643973
,138.5723433565887,99102.6954699282,2.3347789532541774,1646.1839741334657,,Petrol,28025.036674938136
2.656157185539792,173.52399166728173,74408.08778224592,4.0714558274210795,1540.4191755026195,BMW,Petrol,37412.13321520844
,144.78340191234884,63584.92882720703,7.947324972119411,2007.3765968710582,Honda,Petrol,22452.682258998084
2.268970220043051,,65668.7188000687,6.053623900297082,1287.0890072103832,BMW,Petrol,30022.36090619895
2.5393473521657848,,45835.36460068278,5.359652616129713,925.2217293899467,Toyota,Petrol,35289.21755277795
,219.1889156550647,69368.04938980228,4.53697412940786,1842.496271781908,Honda,Hybrid,43020.39646603135
2.0465552011225583,140.02712585802314,68164.05790220168,5.922779160165013,1356.7430688259599,,Diesel,29669.457535652884
1.1952064266869296,104.70424424215342,25025.91228606357,3.2359809153195105,1704.2206528290878,,Diesel,25077.264521454268
1.707523890736488,98.79870510399897,53123.44803316667,3.5996685560397053,820.9555655021805,Ford,Hybrid,25436.40817317584
2.224841531316649,118.48492258682492,81349.04508003625,2.928812786025684,1277.4934949210565,,Petrol,26597.628635568726
1.7337676861057494,132.17293269258306,71390.92139766729,4.580347437465116,1199.1926782459238,Toyota,Hybrid,24493.909047694
,,71241.68984899862,5.874428742814444,1898.4142850316368,,Petrol,26932.91463832
2.763877941858482,148.3149134019232,43454.80546849716,4.0025102503333105,1962.0285451882978,Toyota,Hybrid,34637.98948731927
0.3992631358334109,,72072.47668037828,4.311499071098271,860.1600141011088,,Diesel,24826.89801447588
,,40873.76150134021,6.33107606627963,1350.2702815798466,,Hybrid,35226.75536447069
2.120139527797097,123.73528860281696,65181.9343712211,3.9959926262911116,1613.4991548391286,,Hybrid,33378.87306124932
2.127294897108933,,65760.99819616601,3.1307830832932595,1571.179228899194,,Diesel,35520.06043921817
2.1784191162049353,143.00730926267514,36264.53137785134,7.390317161824131,1918.0503750586997,,Diesel,36272.07290858853
,,36089.880980824295,7.918764921522863,1627.8976939686686,Honda,Hybrid,28467.115365407095
,117.91832816659178,72425.34508768286,7.40513562614743,1579.3032861842478,BMW,Petrol,27146.867893514696
1.5371471173218278,192.65430011379175,45129.134748033845,4.905403638803265,1702.1218138918348,BMW,Petrol,37020.56586129081
,,94700.6466714958,5.513008682788088,979.2800915553819,Toyota,Diesel,27180.191011737832
1.5563941587861332,142.2070475514249,45288.630697514054,6.722966382923398,1672.0832467567368,Toyota,Diesel,28815.238454276117
2.637802493563586,,56446.32318271226,4.121004599831054,1281.8348148269092,Honda,Hybrid,40320.63853219204
1.7280784614184226,157.4549523614354,35857.91846192453,9.041327157956943,2013.5092858277203,BMW,Diesel,30842.87644591727
2.1487396188756116,181.11784062403476,32534.123980087978,2.414514838259055,1810.1085463865306,,Petrol,38416.89377463561
2.4090441552666264,,53267.26270859376,1.4096832276066888,1139.3381415068302,,Petrol,35227.577717303226
2.2163525275122327,,51962.92129604146,2.033791351700259,1921.220206017103,,Diesel,36569.89837489527
,210.32765593881294,86674.51661993425,6.373622392398685,1283.7103447945433,,Diesel,33892.807803366544
2.2411674664836077,141.10398608891649,12118.476866524921,3.123049362572979,1666.2645086231284,Ford,Diesel,33034.91302347703
